STATE,YEAR,DISTRICT,MUD
BIHAR,2004,PATNA,542
BIHAR,2003,PATNA,484
BIHAR,2002,PATNA,472
BIHAR,2005,PATNA,436
BIHAR,2001,PATNA,434
BIHAR,2012,PATNA,356
BIHAR,2008,PATNA,341
BIHAR,2006,PATNA,338
"UTTAR PRADESH",2001,MUZAFFARNAGAR,324
BIHAR,2007,PATNA,317
BIHAR,2009,PATNA,314
BIHAR,2010,PATNA,304
MAHARASHTRA,2001,MUMBAI,295
"UTTAR PRADESH",2002,MUZAFFARNAGAR,287
"UTTAR PRADESH",2001,MEERUT,275
"UTTAR PRADESH",2001,BAREILLY,272
JHARKHAND,2002,RANCHI,270
JHARKHAND,2004,RANCHI,270
"WEST BENGAL",2010,"PASCHIM MIDNAPUR",268
KARNATAKA,2010,"BANGALORE COMMR.",266
KARNATAKA,2012,"BANGALORE COMMR.",266
"WEST BENGAL",2010,"24 PARGANAS SOUTH",263
KARNATAKA,2009,"BANGALORE COMMR.",256
"UTTAR PRADESH",2009,GHAZIABAD,254
MAHARASHTRA,2004,MUMBAI,253
"UTTAR PRADESH",2004,MUZAFFARNAGAR,253
JHARKHAND,2006,RANCHI,253
KARNATAKA,2008,"BANGALORE COMMR.",253
MAHARASHTRA,2002,MUMBAI,252
"UTTAR PRADESH",2001,BULANDSHAHAR,250
JHARKHAND,2003,RANCHI,250
BIHAR,2011,PATNA,248
"WEST BENGAL",2011,"24 PARGANAS SOUTH",247
KARNATAKA,2007,"BANGALORE COMMR.",246
"WEST BENGAL",2010,"24 PARGANAS NORTH",244
JHARKHAND,2001,RANCHI,243
MAHARASHTRA,2003,MUMBAI,242
KARNATAKA,2005,"BANGALORE COMMR.",242
"UTTAR PRADESH",2001,ETAH,240
"UTTAR PRADESH",2001,BADAUN,239
JHARKHAND,2005,RANCHI,239
MAHARASHTRA,2006,"MUMBAI COMMR.",239
"WEST BENGAL",2008,"24 PARGANAS SOUTH",239
"UTTAR PRADESH",2002,BAREILLY,237
KARNATAKA,2011,"BANGALORE COMMR.",232
"WEST BENGAL",2011,"24 PARGANAS NORTH",232
"UTTAR PRADESH",2002,GHAZIABAD,231
"UTTAR PRADESH",2001,GHAZIABAD,230
"UTTAR PRADESH",2002,MEERUT,230
BIHAR,2003,GAYA,230
"UTTAR PRADESH",2006,MUZAFFARNAGAR,230
MAHARASHTRA,2007,"MUMBAI COMMR.",230
"UTTAR PRADESH",2001,ALIGARH,229
"WEST BENGAL",2009,"24 PARGANAS NORTH",229
MAHARASHTRA,2010,"MUMBAI COMMR.",228
"UTTAR PRADESH",2004,MEERUT,225
"UTTAR PRADESH",2005,BAREILLY,224
"WEST BENGAL",2012,"24 PARGANAS SOUTH",224
GUJARAT,2002,"AHMEDABAD COMMR.",222
KARNATAKA,2001,"BANGALORE COMMR.",221
BIHAR,2004,NALANDA,220
BIHAR,2002,GAYA,218
KARNATAKA,2006,"BANGALORE COMMR.",218
"UTTAR PRADESH",2002,BULANDSHAHAR,217
MAHARASHTRA,2009,"MUMBAI COMMR.",217
"UTTAR PRADESH",2010,GHAZIABAD,216
KARNATAKA,2003,"BANGALORE COMMR.",216
MAHARASHTRA,2012,"MUMBAI COMMR.",215
"ANDHRA PRADESH",2001,"RANGA REDDY",214
"ANDHRA PRADESH",2002,"RANGA REDDY",214
KARNATAKA,2004,"BANGALORE COMMR.",214
"UTTAR PRADESH",2004,BAREILLY,214
"UTTAR PRADESH",2001,MORADABAD,213
"UTTAR PRADESH",2007,MUZAFFARNAGAR,213
"ANDHRA PRADESH",2011,CYBERABAD,213
"WEST BENGAL",2009,"24 PARGANAS SOUTH",212
"UTTAR PRADESH",2004,BADAUN,212
"ANDHRA PRADESH",2005,MAHABOOBNAGAR,212
MAHARASHTRA,2005,MUMBAI,212
"UTTAR PRADESH",2001,"KANPUR NAGAR",210
"UTTAR PRADESH",2002,ETAH,210
"UTTAR PRADESH",2002,SHAHJAHANPUR,210
"ANDHRA PRADESH",2003,GUNTUR,210
MAHARASHTRA,2008,"MUMBAI COMMR.",210
JHARKHAND,2008,RANCHI,209
BIHAR,2001,NALANDA,208
"UTTAR PRADESH",2005,MUZAFFARNAGAR,207
"UTTAR PRADESH",2002,BADAUN,206
"WEST BENGAL",2002,"24 PARGANAS NORTH",204
JHARKHAND,2007,RANCHI,203
MAHARASHTRA,2011,"MUMBAI COMMR.",203
JHARKHAND,2009,RANCHI,202
"UTTAR PRADESH",2012,MEERUT,202
"WEST BENGAL",2001,"24 PARGANAS NORTH",202
"UTTAR PRADESH",2002,"KANPUR NAGAR",202
KARNATAKA,2002,"BANGALORE COMMR.",201
JHARKHAND,2011,GUMLA,201
BIHAR,2001,GAYA,200
"UTTAR PRADESH",2004,BULANDSHAHAR,199
"UTTAR PRADESH",2005,MEERUT,199
"UTTAR PRADESH",2005,BULANDSHAHAR,198
"WEST BENGAL",2009,"PASCHIM MIDNAPUR",198
"ANDHRA PRADESH",2012,CYBERABAD,198
BIHAR,2012,MUZAFFARPUR,198
"ANDHRA PRADESH",2008,CYBERABAD,197
"UTTAR PRADESH",2001,SHAHJAHANPUR,196
"UTTAR PRADESH",2007,MEERUT,195
"UTTAR PRADESH",2009,MUZAFFARNAGAR,195
"UTTAR PRADESH",2003,BAREILLY,194
"UTTAR PRADESH",2004,MORADABAD,194
"UTTAR PRADESH",2005,LUCKNOW,194
"WEST BENGAL",2007,"24 PARGANAS NORTH",194
"UTTAR PRADESH",2003,MEERUT,193
"WEST BENGAL",2003,"24 PARGANAS NORTH",193
"UTTAR PRADESH",2004,ALIGARH,193
"ANDHRA PRADESH",2006,CYBERABAD,193
"WEST BENGAL",2008,"24 PARGANAS NORTH",192
JHARKHAND,2012,GUMLA,192
"ANDHRA PRADESH",2003,MAHABOOBNAGAR,191
"ANDHRA PRADESH",2006,MAHABOOBNAGAR,191
"UTTAR PRADESH",2004,GHAZIABAD,190
"UTTAR PRADESH",2011,MEERUT,189
"ANDHRA PRADESH",2011,MAHABOOBNAGAR,188
"ANDHRA PRADESH",2008,MAHABOOBNAGAR,188
"UTTAR PRADESH",2003,"KANPUR NAGAR",187
"ANDHRA PRADESH",2010,CYBERABAD,187
"ANDHRA PRADESH",2009,CYBERABAD,186
"UTTAR PRADESH",2003,MUZAFFARNAGAR,186
"ANDHRA PRADESH",2007,CYBERABAD,186
"UTTAR PRADESH",2006,MEERUT,185
"WEST BENGAL",2010,MURSHIDABAD,185
"WEST BENGAL",2009,MURSHIDABAD,184
"ANDHRA PRADESH",2006,ANANTAPUR,184
"ANDHRA PRADESH",2004,MAHABOOBNAGAR,183
"UTTAR PRADESH",2005,GHAZIABAD,183
JHARKHAND,2010,RANCHI,183
"ANDHRA PRADESH",2012,MAHABOOBNAGAR,182
"ANDHRA PRADESH",2001,GUNTUR,182
"UTTAR PRADESH",2001,HARDOI,182
"UTTAR PRADESH",2003,BADAUN,182
"UTTAR PRADESH",2011,AGRA,181
"TAMIL NADU",2012,CHENNAI,180
BIHAR,2004,MUZAFFARPUR,180
"UTTAR PRADESH",2006,BAREILLY,180
"UTTAR PRADESH",2005,BADAUN,179
"UTTAR PRADESH",2002,ALIGARH,178
"UTTAR PRADESH",2002,MORADABAD,178
"WEST BENGAL",2004,"24 PARGANAS NORTH",177
"UTTAR PRADESH",2006,ALIGARH,177
"UTTAR PRADESH",2006,BULANDSHAHAR,177
"ANDHRA PRADESH",2010,MAHABOOBNAGAR,177
"UTTAR PRADESH",2012,ALIGARH,177
"UTTAR PRADESH",2010,MORADABAD,176
"UTTAR PRADESH",2003,GHAZIABAD,176
"UTTAR PRADESH",2003,LUCKNOW,176
"UTTAR PRADESH",2005,ALIGARH,176
KARNATAKA,2007,"BANGALORE RURAL",176
BIHAR,2002,NALANDA,175
"UTTAR PRADESH",2002,LUCKNOW,175
KARNATAKA,2006,"BANGALORE RURAL",175
"UTTAR PRADESH",2009,MEERUT,175
"WEST BENGAL",2012,MURSHIDABAD,174
"ANDHRA PRADESH",2012,ANANTAPUR,173
"ANDHRA PRADESH",2003,ANANTAPUR,173
"UTTAR PRADESH",2004,LUCKNOW,173
"ANDHRA PRADESH",2007,MAHABOOBNAGAR,173
"UTTAR PRADESH",2001,KHIRI,172
"ANDHRA PRADESH",2005,ANANTAPUR,172
"ANDHRA PRADESH",2002,MAHABOOBNAGAR,171
BIHAR,2003,NALANDA,171
KARNATAKA,2005,"BANGALORE RURAL",171
"ANDHRA PRADESH",2011,ANANTAPUR,171
"WEST BENGAL",2011,"PASCHIM MIDNAPUR",171
BIHAR,2010,MOTIHARI,169
"UTTAR PRADESH",2006,BADAUN,169
"UTTAR PRADESH",2005,MORADABAD,168
"WEST BENGAL",2005,"24 PARGANAS NORTH",168
"UTTAR PRADESH",2008,"KANPUR NAGAR",168
"UTTAR PRADESH",2008,MUZAFFARNAGAR,168
JHARKHAND,2009,GUMLA,168
"UTTAR PRADESH",2010,MUZAFFARNAGAR,168
"TAMIL NADU",2011,CHENNAI,168
"UTTAR PRADESH",2011,ALIGARH,168
